"Sexe","Congé maternité A-1","Contrat","Durée hebdo","Salaire base mensuel","%variable_moyen","Augmentation","Promotion","Ancienneté_an","Distance domicile/Travail","Service","Work_accident","Niveau de satisfaction","tranche d'âge","ID"
"H",0,"CDI",35,9999.38,27,0,0,"2025-08-17",56,"Marketing","Non",34,"40-49 ans","Row0_Row0_Row0"
"H",0,"CDI",35,9978.15,34,0,0,"13",26,"Compta Finances","Non",78,"40-49 ans","Row1_Row1_Row1"
"H",0,"CDI",35,9940.23,24,0,0,"2025-07-22",4,"Marketing","Non",45,"40-49 ans","Row2_Row2_Row2"
"H",0,"CDI",35,9785.53,28,0,0,"2025-02-17",48,"Commercial","Oui",40,"30-39 ans","Row5_Row5_Row5"
"F",0,"CDI",35,9777.95,4,1,0,"2025-05-10",56,"Commercial","Oui",13,"40-49 ans","Row7_Row7_Row7"
"H",0,"CDI",35,9737,12,1,1,"2025-04-07",62,"Consultant","Non",72,"50 ans et +","Row8_Row8_Row8"
"H",0,"CDI",35,9642.97,17,0,0,"19",13,"RH","Non",3,"50 ans et +","Row9_Row9_Row9"
"H",0,"CDI",35,9635.38,19,1,0,"2025-04-06",68,"RH","Oui",32,"40-49 ans","Row10_Row10_Row10"
"F",0,"CDI",35,9555,20,1,0,"2025-09-13",50,"Commercial","Non",15,"30-39 ans","Row13_Row13_Row13"
"F",0,"CDI",35,9497.37,17,1,0,"2025-08-13",63,"Commercial","Non",81,"40-49 ans","Row14_Row14_Row14"
"H",0,"CDI",35,9488.27,38,1,1,"2025-09-14",6,"Commercial","Non",52,"50 ans et +","Row15_Row15_Row15"
"H",0,"CDI",35,9447.32,0,1,0,"2025-01-21",61,"Consultant","Non",1,"40-49 ans","Row16_Row16_Row16"
"F",0,"CDI",35,9426.08,24,1,0,"2025-08-23",40,"Consultant","Non",9,"50 ans et +","Row17_Row17_Row17"
"F",0,"CDI",35,9366.93,8,1,1,"2025-01-09",46,"Informatique","Non",74,"40-49 ans","Row19_Row19_Row19"
"F",0,"CDI",35,9256.22,1,1,0,"2025-04-07",5,"Compta Finances","Non",84,"50 ans et +","Row20_Row20_Row20"
"F",0,"CDI",35,9162.18,17,1,0,"2025-01-09",46,"Consultant","Non",7,"50 ans et +","Row22_Row22_Row22"
